STATE,zipcode,Income
WA,98281,5097
WA,98281,5376
WA,98281,4479
WA,98281,13318
WA,98281,28204
WA,98282,25130
WA,98282,53507
WA,98282,73913
WA,98282,88179
WA,98282,194279
WA,98282,120807
WA,98283,873
WA,98283,1441
WA,98283,1997
WA,98283,3300
WA,98283,0
WA,98283,0
WA,98284,49210
WA,98284,106548
WA,98284,111765
WA,98284,105985
WA,98284,140547
WA,98284,60162
WA,98290,52925
WA,98290,114598
WA,98290,138501
WA,98290,148717
WA,98290,458661
WA,98290,281974
WA,98292,37242
WA,98292,76648
WA,98292,101199
WA,98292,111759
WA,98292,290545
WA,98292,157458
WA,98294,11409
WA,98294,30203
WA,98294,33292
WA,98294,28388
WA,98294,44374
WA,98294,11242
WA,98295,4791
WA,98295,11058
WA,98295,11288
WA,98295,8984
WA,98295,21887
WA,98295,0
WA,98296,31209
WA,98296,62020
WA,98296,82422
WA,98296,114222
WA,98296,478039
WA,98296,453214
WA,98303,1941
WA,98303,3697
WA,98303,4116
WA,98303,5515
WA,98303,15757
WA,98303,0
WA,98304,2037
WA,98304,3810
WA,98304,3069
WA,98304,2064
WA,98304,4043
WA,98304,0
WA,98305,761
WA,98305,1423
WA,98305,2181
WA,98305,1818
WA,98305,3192
WA,98305,0
WA,98310,44419
WA,98310,97210
WA,98310,91526
WA,98310,74121
WA,98310,103828
WA,98310,33577
WA,98311,45018
WA,98311,104254
WA,98311,132051
WA,98311,128528
WA,98311,218608
WA,98311,42672
WA,98312,62474
WA,98312,137162
WA,98312,134200
WA,98312,125190
WA,98312,213284
WA,98312,95631
WA,98315,14908
WA,98315,29127
WA,98315,17723
WA,98315,7264
WA,98315,8938
WA,98315,0
WA,98320,2212
WA,98320,4777
WA,98320,5348
WA,98320,4995
WA,98320,11285
WA,98320,0
WA,98321,22887
WA,98321,52622
WA,98321,65878
WA,98321,76652
WA,98321,175599
WA,98321,65064
WA,98323,1025
WA,98323,3312
WA,98323,3223
WA,98323,4016
WA,98323,6328
WA,98323,0
WA,98325,4691
WA,98325,8675
WA,98325,9706
WA,98325,7969
WA,98325,13650
